time,o,h,l,c,volume,complete
2024-09-23 00:00:00+00:00,2620.28,2620.28,2618.865,2619.205,1132,True
2024-09-23 00:15:00+00:00,2619.155,2620.295,2619.1,2620.105,732,True
2024-09-23 00:30:00+00:00,2620.11,2620.465,2618.495,2618.62,575,True
2024-09-23 00:45:00+00:00,2618.64,2619.335,2618.265,2618.415,643,True
2024-09-23 01:00:00+00:00,2618.33,2619.61,2616.175,2619.535,3385,True
2024-09-23 01:15:00+00:00,2619.5,2620.58,2617.265,2618.955,3492,True
2024-09-23 01:30:00+00:00,2618.93,2621.585,2618.06,2621.12,2793,True
2024-09-23 01:45:00+00:00,2621.13,2621.375,2620.01,2620.225,2576,True
2024-09-23 02:00:00+00:00,2620.23,2620.73,2618.87,2620.25,2132,True
2024-09-23 02:15:00+00:00,2620.29,2620.975,2619.675,2620.835,1389,True
2024-09-23 02:30:00+00:00,2620.755,2625.915,2620.615,2623.055,3276,True
2024-09-23 02:45:00+00:00,2623.045,2626.4,2622.375,2625.415,2765,True
2024-09-23 03:00:00+00:00,2625.365,2628.355,2624.91,2628.06,2810,True
2024-09-23 03:15:00+00:00,2628.08,2631.025,2627.79,2630.925,2940,True
2024-09-23 03:30:00+00:00,2630.86,2631.185,2628.0,2628.34,1536,True
2024-09-23 03:45:00+00:00,2628.315,2629.145,2628.025,2628.56,1184,True
2024-09-23 04:00:00+00:00,2628.555,2631.14,2628.065,2630.925,1433,True
2024-09-23 04:15:00+00:00,2630.92,2631.0,2629.145,2629.585,1071,True
2024-09-23 04:30:00+00:00,2629.58,2630.13,2629.55,2629.605,474,True
2024-09-23 04:45:00+00:00,2629.595,2630.45,2629.085,2629.5,925,True
2024-09-23 05:00:00+00:00,2629.495,2630.42,2626.84,2628.015,1587,True
2024-09-23 05:15:00+00:00,2628.02,2629.12,2627.775,2628.77,1125,True
2024-09-23 05:30:00+00:00,2628.755,2630.325,2627.52,2630.325,2217,True
2024-09-23 05:45:00+00:00,2630.32,2631.405,2628.73,2630.07,2526,True
2024-09-23 06:00:00+00:00,2630.095,2630.205,2627.82,2629.54,2831,True
2024-09-23 06:15:00+00:00,2629.57,2629.575,2626.49,2628.53,2627,True
2024-09-23 06:30:00+00:00,2628.515,2629.285,2625.92,2626.72,2058,True
2024-09-23 06:45:00+00:00,2626.69,2627.345,2624.55,2624.55,2151,True
2024-09-23 07:00:00+00:00,2624.47,2625.1,2620.87,2621.465,3904,True
2024-09-23 07:15:00+00:00,2621.37,2621.37,2617.81,2619.45,5095,True
2024-09-23 07:30:00+00:00,2619.265,2620.35,2614.735,2616.54,5571,True
2024-09-23 07:45:00+00:00,2616.535,2616.83,2613.89,2615.24,4220,True
